type,lat,lon,highway_type,destination,destination_ref,ref,name
ramp,43.7108465,-79.5480732,motorway_junction,,,355,
ramp,43.7241844,-79.4760296,motorway_junction,,,362,
ramp,43.7265391,-79.4632492,motorway_junction,,,364,
ramp,43.7329342,-79.4406579,motorway_junction,,,,
ramp,43.740339,-79.4258893,motorway_junction,,,367,
ramp,43.7657825,-79.3756139,motorway_junction,,,,
ramp,43.7668744,-79.3551817,motorway_junction,,,373,
ramp,43.8415449,-79.5474463,motorway_junction,,,35,
ramp,43.8533639,-79.5502524,motorway_junction,,,35,
ramp,43.8597609,-79.551533,motorway_junction,,,37,
ramp,43.6339546,-79.4712854,motorway_junction,,,,
ramp,43.8128671,-79.5447068,motorway_junction,,,29,
ramp,43.7253393,-79.5239512,motorway_junction,,,,
ramp,43.8163494,-79.5449515,motorway_junction,,,32,
ramp,43.7908796,-79.3424643,motorway_junction,,,20,
ramp,43.8076942,-79.3461593,motorway_junction,,,22,
ramp,43.4797156,-79.7721722,motorway_junction,,,18,
ramp,43.5192186,-79.7353969,motorway_junction,,,24,
ramp,43.5744319,-79.7945206,motorway_junction,,,31,
ramp,43.5830686,-79.8058178,motorway_junction,,,34A,
ramp,43.6850641,-79.5988763,motorway_junction,,,,
ramp,43.4649293,-79.6802624,motorway_junction,,,118,
ramp,43.6096156,-79.554433,motorway_junction,,,139,
ramp,43.6039485,-79.5606492,motorway_junction,,,138,
ramp,43.7127664,-79.4427137,motorway_junction,,,,
ramp,43.7188825,-79.4455067,motorway_junction,,,,
ramp,43.7248629,-79.4473829,motorway_junction,,,,
ramp,43.7310516,-79.450866,motorway_junction,,,,
ramp,43.7351789,-79.4505722,motorway_junction,,,,
ramp,43.7328081,-79.4503643,motorway_junction,,,,
ramp,43.7268241,-79.4477872,motorway_junction,,,,
ramp,43.7269881,-79.4471402,motorway_junction,,,,
ramp,43.7289269,-79.4465198,motorway_junction,,,,
ramp,43.7281047,-79.4559579,motorway_junction,,,365,
ramp,43.7288995,-79.4517066,motorway_junction,,,,
ramp,43.7334735,-79.4499405,motorway_junction,,,,
ramp,43.7276653,-79.4490768,motorway_junction,,,,
ramp,43.7344056,-79.4371614,motorway_junction,,,365,
ramp,43.7309986,-79.4460239,motorway_junction,,,,
ramp,43.7310281,-79.4467821,motorway_junction,,,,
ramp,43.7316863,-79.4442024,motorway_junction,,,,
ramp,43.7299403,-79.4483477,motorway_junction,,,,
ramp,43.7369408,-79.4507336,motorway_junction,,,,
ramp,43.7411924,-79.4528589,motorway_junction,,,,
ramp,43.7175743,-79.5162277,motorway_junction,,,,
ramp,43.7121733,-79.5106287,motorway_junction,,,20,
ramp,43.7157058,-79.5176013,motorway_junction,,,21B,
ramp,43.7126232,-79.5117974,motorway_junction,,,21A,
ramp,43.7101173,-79.5014991,motorway_junction,,,20,
ramp,43.7690877,-79.5339032,motorway_junction,,,26,
ramp,43.7810118,-79.5440639,motorway_junction,,,,
ramp,43.779968,-79.5516375,motorway_junction,,,66,
ramp,43.7871252,-79.5195486,motorway_junction,,,66,
ramp,43.7856945,-79.5300743,motorway_junction,,,,
ramp,43.7945475,-79.5403192,motorway_junction,,,26,
ramp,43.7834501,-79.5350627,motorway_junction,,,67,
ramp,43.7885009,-79.5139639,motorway_junction,,,67,
ramp,43.8012927,-79.5412672,motorway_junction,,,31,
ramp,43.7961799,-79.5410591,motorway_junction,,,29,
ramp,43.7841319,-79.5374016,motorway_junction,,,29,
ramp,43.7879148,-79.5375062,motorway_junction,,,29,
ramp,43.7784751,-79.5578893,motorway_junction,,,65,
ramp,43.8258674,-79.4609151,motorway_junction,,,75,
ramp,43.8385532,-79.4128807,motorway_junction,,,79,
ramp,43.8365205,-79.3897679,motorway_junction,,,81,
ramp,43.8366264,-79.3849533,motorway_junction,,,83,
ramp,43.842425,-79.3473301,motorway_junction,,,84,
ramp,43.8375521,-79.3998122,motorway_junction,,,79,
ramp,43.8293914,-79.4463894,motorway_junction,,,75,
ramp,43.8440108,-79.3711011,motorway_junction,,,,
ramp,43.83963,-79.3634082,motorway_junction,,,84,
ramp,43.8412344,-79.355482,motorway_junction,,,83,
ramp,43.8411836,-79.3619041,motorway_junction,,,,
ramp,43.837553,-79.3745063,motorway_junction,,,,
ramp,43.8529177,-79.3726355,motorway_junction,,,27,
ramp,43.8337267,-79.3651485,motorway_junction,,,,
ramp,43.8697191,-79.3767543,motorway_junction,,,29,
ramp,43.9062607,-79.3856853,motorway_junction,,,33,
ramp,43.7004095,-79.5700068,motorway_junction,,,,
ramp,43.7306823,-79.6701964,motorway_junction,,,53,
ramp,43.7040289,-79.6810623,motorway_junction,,,50,
ramp,43.6439464,-79.7329061,motorway_junction,,,42,
ramp,43.621108,-79.7579924,motorway_junction,,,39,
ramp,43.5974161,-79.8025356,motorway_junction,,,34,
ramp,43.6151661,-79.7677101,motorway_junction,,,39,
ramp,43.6374584,-79.7412396,motorway_junction,,,42,
ramp,43.6502824,-79.7205865,motorway_junction,,,44,
ramp,43.5926564,-79.8087104,motorway_junction,,,34B,
ramp,43.5684169,-79.7857374,motorway_junction,,,31,
ramp,43.7056854,-79.5582636,motorway_junction,,,,
ramp,43.6983226,-79.5793446,motorway_junction,,,,
ramp,43.6973891,-79.6035518,motorway_junction,,,,
ramp,43.69678,-79.5981937,motorway_junction,,,,
ramp,43.6945783,-79.6109244,motorway_junction,,,,
ramp,43.6932225,-79.6108118,motorway_junction,,,,
ramp,43.6899356,-79.6123458,motorway_junction,,,,
ramp,43.6861135,-79.6138268,motorway_junction,,,,
ramp,43.7029724,-79.6115969,motorway_junction,,,,
ramp,43.6918253,-79.6123606,motorway_junction,,,,
ramp,43.700519,-79.6106346,motorway_junction,,,,
ramp,43.6990766,-79.6099298,motorway_junction,,,,
ramp,43.6930453,-79.6117083,motorway_junction,,,,
ramp,43.6836338,-79.6149074,motorway_junction,,,,
ramp,43.6856059,-79.6099174,motorway_junction,,,,
ramp,43.6868306,-79.6151617,motorway_junction,,,,
ramp,43.6848874,-79.6065619,motorway_junction,,,,
ramp,43.6344349,-79.6718878,motorway_junction,,,344,
ramp,43.6361597,-79.6667486,motorway_junction,,,,
ramp,43.6336291,-79.6525165,motorway_junction,,,,
ramp,43.7506768,-79.4120702,motorway_junction,,,369,
ramp,43.7521888,-79.4093586,motorway_junction,,,,
ramp,43.7554634,-79.4071099,motorway_junction,,,,
ramp,43.7578306,-79.4020481,motorway_junction,,,369,
ramp,43.7586985,-79.6151139,motorway_junction,,,58,
ramp,43.7518653,-79.6384784,motorway_junction,,,,
ramp,43.7479625,-79.6434925,motorway_junction,,,58,
