sample_order,timestamp,latitude,longitude,speed_kmh
159,26252,43.413361,-80.347122,97.8
160,26253,43.413364,-80.346794,95.4
161,26254,43.413368,-80.346458,97.7
162,26255,43.41338,-80.34613,95.5
163,26256,43.413391,-80.345802,95.5
164,26257,43.413399,-80.345459,99.8
165,26258,43.413399,-80.345123,97.7
166,26259,43.413406,-80.344772,102.1
167,26260,43.413406,-80.344414,104.1
168,26261,43.413418,-80.344078,97.8
169,26262,43.413433,-80.343727,102.2
170,26263,43.413441,-80.343369,104.2
171,26264,43.413445,-80.34301,104.4
172,26265,43.413448,-80.342651,104.4
173,26266,43.413456,-80.342278,108.5
174,26267,43.413467,-80.341919,104.5
175,26268,43.413471,-80.341553,106.4
176,26269,43.413471,-80.341179,108.8
177,26270,43.413479,-80.340813,106.5
178,26271,43.413483,-80.340446,106.7
179,26272,43.413494,-80.34008,106.5
180,26273,43.413506,-80.339722,104.2
181,26274,43.413521,-80.339363,104.6
182,26275,43.413536,-80.338997,106.6
183,26276,43.413559,-80.338638,104.8
184,26277,43.413567,-80.338272,106.5
185,26278,43.413586,-80.337914,104.4
186,26279,43.413597,-80.33754,108.8
187,26280,43.413609,-80.337189,102.2
188,26281,43.413616,-80.33683,104.4
189,26282,43.413631,-80.336487,99.9
190,26283,43.413635,-80.336128,104.4
191,26284,43.413639,-80.335777,102.1
192,26285,43.413647,-80.335442,97.5
193,26286,43.41367,-80.335106,98.1
194,26287,43.413681,-80.334763,99.8
195,26288,43.413689,-80.334419,100.1
196,26289,43.413704,-80.334091,95.6
197,26290,43.413715,-80.333763,95.5
198,26291,43.413727,-80.333443,93.2
199,26292,43.413738,-80.333115,95.5
200,26293,43.413757,-80.332794,93.7
201,26294,43.413769,-80.332474,93.2
202,26295,43.413773,-80.33213,100.0
203,26296,43.413784,-80.331802,95.5
204,26297,43.413799,-80.331459,99.9
205,26298,43.413807,-80.331116,99.8
206,26299,43.413815,-80.330765,102.1
207,26300,43.41383,-80.330414,102.2
208,26301,43.413841,-80.330078,97.8
209,26302,43.413853,-80.329735,99.9
210,26303,43.413864,-80.329384,102.2
211,26304,43.413879,-80.329033,102.2
212,26305,43.413891,-80.328682,102.2
213,26306,43.413914,-80.328323,104.8
214,26307,43.413937,-80.327972,102.5
215,26308,43.41396,-80.327637,97.8
216,26309,43.413971,-80.327286,102.2
217,26310,43.413982,-80.32695,97.8
218,26311,43.414001,-80.326607,100.0
219,26312,43.414009,-80.326263,100.1
220,26313,43.414024,-80.325928,97.6
221,26314,43.414036,-80.325592,97.8
222,26315,43.414043,-80.325249,99.8
223,26316,43.414062,-80.324921,95.7
224,26317,43.414078,-80.324577,100.2
225,26318,43.414093,-80.324242,97.6
226,26319,43.414116,-80.323891,102.5
227,26320,43.414127,-80.32354,102.2
228,26321,43.414143,-80.323196,100.2
229,26322,43.414162,-80.322838,104.4
230,26323,43.414177,-80.322495,99.9
231,26324,43.414196,-80.322151,100.3
232,26325,43.414207,-80.3218,102.2
233,26326,43.414223,-80.321434,106.6
234,26327,43.414234,-80.321075,104.5
235,26328,43.414242,-80.320694,110.8
236,26329,43.414249,-80.320328,106.5
237,26330,43.414257,-80.319962,106.5
238,26331,43.414265,-80.319603,104.4
239,26332,43.414268,-80.319214,113.1
240,26333,43.414284,-80.318855,104.6
241,26334,43.414288,-80.318489,106.4
242,26335,43.414295,-80.318115,108.8
243,26336,43.414303,-80.317734,110.8
244,26337,43.41431,-80.31736,108.8
245,26338,43.414322,-80.316978,111.2
246,26339,43.414333,-80.316605,108.6
247,26340,43.414352,-80.316246,104.7
248,26341,43.414364,-80.31588,106.5
249,26342,43.414379,-80.315514,106.6
250,26343,43.414368,-80.315109,117.8
251,26344,43.41436,-80.314713,115.2
252,26345,43.41436,-80.314331,111.1
253,26346,43.414352,-80.313934,115.5
254,26347,43.414368,-80.313583,102.3
255,26348,43.414387,-80.313217,106.7
256,26349,43.41441,-80.312851,106.8
257,26350,43.414425,-80.312462,113.3
258,26351,43.414444,-80.312088,109.0
259,26352,43.414463,-80.311707,111.0
260,26353,43.414463,-80.311295,119.8
261,26354,43.414478,-80.310921,108.9
262,26355,43.414501,-80.310539,111.5
263,26356,43.41452,-80.310158,111.0
264,26357,43.414528,-80.309769,113.2
265,26358,43.414528,-80.309395,108.8
266,26359,43.414547,-80.309021,109.0
267,26360,43.414562,-80.308647,108.9
268,26361,43.414585,-80.308266,111.2
269,26362,43.4146,-80.307884,111.2
270,26363,43.414616,-80.307518,106.6
271,26364,43.414639,-80.307137,111.2
272,26365,43.414658,-80.30677,107.0
273,26366,43.414677,-80.306396,109.0
274,26367,43.414688,-80.306023,108.5
275,26368,43.4147,-80.305656,106.8
276,26369,43.414719,-80.305298,104.4
277,26370,43.414734,-80.304939,104.6
278,26371,43.414745,-80.304573,106.5
279,26372,43.414757,-80.30423,99.9
280,26373,43.414772,-80.303886,100.2
281,26374,43.414791,-80.303535,102.3
282,26375,43.414803,-80.303192,99.9
283,26376,43.414829,-80.302841,102.6
284,26377,43.414852,-80.302483,104.5
285,26378,43.414883,-80.302132,102.8
286,26379,43.414928,-80.301765,108.2
287,26380,43.414986,-80.301407,106.7
288,26381,43.415047,-80.301048,107.2
289,26382,43.415123,-80.30069,108.5
290,26383,43.415203,-80.300331,109.2
291,26384,43.415295,-80.299988,106.3
292,26385,43.415398,-80.299637,110.1
293,26386,43.415504,-80.299286,110.5
294,26387,43.415607,-80.298927,112.2
295,26388,43.415722,-80.298576,112.0
296,26389,43.415829,-80.298233,108.5
297,26390,43.415932,-80.297882,110.1
298,26391,43.416039,-80.297523,112.8
299,26392,43.416149,-80.297157,115.2
300,26393,43.416252,-80.296806,110.1
301,26394,43.416359,-80.29644,114.7
302,26395,43.41647,-80.296082,113.2
303,26396,43.416569,-80.295723,111.7
304,26397,43.416679,-80.295349,117.3
305,26398,43.416782,-80.294983,114.1
306,26399,43.416889,-80.294617,114.7
307,26400,43.417,-80.29425,115.6
308,26401,43.417107,-80.293869,118.8
309,26402,43.417217,-80.293488,119.2
310,26403,43.417328,-80.293114,117.5
311,26404,43.417439,-80.292725,121.5
312,26405,43.417557,-80.292336,122.6
313,26406,43.417664,-80.291962,116.9
314,26407,43.417774,-80.291565,123.5
315,26408,43.417889,-80.291191,118.1
316,26409,43.418007,-80.290802,122.6
317,26410,43.418121,-80.290405,124.1
318,26411,43.418236,-80.290024,120.0
319,26412,43.418343,-80.289642,119.0
320,26413,43.418449,-80.289261,118.6
321,26414,43.41856,-80.288887,117.5
322,26415,43.418667,-80.288521,114.7
323,26416,43.418777,-80.288162,113.3
324,26417,43.418888,-80.287804,113.2
325,26418,43.418999,-80.287453,111.3
326,26419,43.419121,-80.287117,109.2
327,26420,43.419239,-80.286781,108.5
328,26421,43.419365,-80.286446,109.7
329,26422,43.419491,-80.286118,107.9
330,26423,43.419628,-80.285782,112.0
331,26424,43.419765,-80.285454,110.0
332,26425,43.419903,-80.285126,110.2
333,26426,43.420044,-80.28479,112.8
334,26427,43.420189,-80.284454,113.6
335,26428,43.420326,-80.284119,111.8
336,26429,43.420467,-80.283783,112.8
337,26430,43.420609,-80.283447,113.0
338,26431,43.420753,-80.283119,111.4
339,26432,43.420887,-80.282776,113.2
340,26433,43.421032,-80.28244,113.6
341,26434,43.421173,-80.282097,114.6
342,26435,43.421322,-80.281761,114.5
343,26436,43.421455,-80.281425,111.3
344,26437,43.4216,-80.281082,115.4
345,26438,43.421741,-80.280754,110.8
346,26439,43.421879,-80.280418,112.2
347,26440,43.42202,-80.28009,110.8
348,26441,43.422161,-80.279755,112.6
349,26442,43.422302,-80.279419,112.8
350,26443,43.422447,-80.279083,113.6
351,26444,43.422592,-80.278732,117.4
352,26445,43.422733,-80.278397,112.6
353,26446,43.422878,-80.278069,111.6
354,26447,43.423023,-80.277725,115.6
355,26448,43.423164,-80.27739,112.6
356,26449,43.423306,-80.277046,115.0
357,26450,43.423443,-80.276718,110.0
358,26451,43.423584,-80.27639,110.8
359,26452,43.423729,-80.276047,115.4
360,26453,43.423866,-80.275719,110.0
361,26454,43.424007,-80.275391,110.8
362,26455,43.424145,-80.275063,110.2
363,26456,43.424286,-80.274734,111.1
364,26457,43.424423,-80.274406,110.0
365,26458,43.424564,-80.274078,110.8
366,26459,43.424702,-80.273758,108.2
367,26460,43.424839,-80.273438,108.0
368,26461,43.424973,-80.273117,107.6
369,26462,43.425114,-80.272789,110.8
370,26463,43.425247,-80.272469,107.2
371,26464,43.425388,-80.272133,112.8
372,26465,43.425526,-80.271805,110.2
373,26466,43.425659,-80.271484,107.4
374,26467,43.4258,-80.271156,110.8
375,26468,43.425934,-80.270828,109.4
376,26469,43.426071,-80.270493,111.8
377,26470,43.426205,-80.270164,109.7
378,26471,43.426334,-80.269821,112.3
379,26472,43.426468,-80.269478,113.2
380,26473,43.426598,-80.269127,114.5
381,26474,43.426716,-80.268776,112.4
382,26475,43.42683,-80.268417,113.9
383,26476,43.426945,-80.268074,109.8
384,26477,43.427055,-80.2677,117.3
385,26478,43.42717,-80.267349,111.9
386,26479,43.427284,-80.266998,111.8
387,26480,43.427395,-80.266647,111.3
388,26481,43.427509,-80.266296,111.8
389,26482,43.427624,-80.265938,113.8
390,26483,43.427731,-80.265579,112.8
391,26484,43.427849,-80.265213,116.4
392,26485,43.427959,-80.264854,113.3
393,26486,43.428078,-80.264496,114.5
394,26487,43.428185,-80.264137,112.8
395,26488,43.428291,-80.263779,112.4
396,26489,43.428406,-80.263435,110.1
397,26490,43.428513,-80.263084,110.7
398,26491,43.428616,-80.262741,107.9
399,26492,43.428722,-80.262398,108.4
400,26493,43.428837,-80.262062,108.0
401,26494,43.428944,-80.261719,108.5
402,26495,43.429047,-80.261383,106.0
403,26496,43.429161,-80.261047,107.8
404,26497,43.429264,-80.260712,105.8
405,26498,43.429367,-80.260361,110.1
406,26499,43.429482,-80.260017,110.1
407,26500,43.429588,-80.259674,108.4
408,26501,43.429695,-80.259323,110.7
409,26502,43.42981,-80.258965,113.8
410,26503,43.42992,-80.258614,111.1
411,26504,43.430031,-80.25827,109.4
412,26505,43.430138,-80.257927,108.5
413,26506,43.430244,-80.257576,110.5
414,26507,43.430355,-80.257225,111.3
415,26508,43.430466,-80.256882,109.2
416,26509,43.430573,-80.256531,110.7
417,26510,43.430683,-80.25618,111.1
418,26511,43.430801,-80.255829,112.4
419,26512,43.430908,-80.255478,110.7
420,26513,43.431019,-80.255127,111.3
421,26514,43.431129,-80.254784,109.0
422,26515,43.43124,-80.254425,113.4
423,26516,43.431351,-80.254082,109.2
424,26517,43.431461,-80.253731,111.1
425,26518,43.431568,-80.253372,112.8
426,26519,43.431679,-80.253036,107.3
427,26520,43.431789,-80.252686,110.9
428,26521,43.431892,-80.25235,106.0
429,26522,43.432003,-80.252007,109.2
430,26523,43.43211,-80.251671,106.7
431,26524,43.432213,-80.251335,106.0
432,26525,43.43232,-80.250999,106.7
433,26526,43.432426,-80.250664,106.2
434,26527,43.432533,-80.250328,106.7
435,26528,43.43264,-80.25,104.5
436,26529,43.432747,-80.249664,106.7
437,26530,43.43285,-80.249329,105.8
438,26531,43.432961,-80.249001,105.2
439,26532,43.433064,-80.248672,104.1
440,26533,43.433163,-80.248337,105.1
441,26534,43.43327,-80.248016,102.7
442,26535,43.433369,-80.247688,103.3
443,26536,43.433472,-80.247368,101.7
444,26537,43.433575,-80.247047,102.0
445,26538,43.433681,-80.246719,104.4
446,26539,43.433777,-80.246391,102.8
447,26540,43.43388,-80.246063,103.9
448,26541,43.433983,-80.245728,105.7
449,26542,43.43409,-80.245399,104.8
450,26543,43.4342,-80.245056,109.0
451,26544,43.434307,-80.24472,106.6
452,26545,43.43441,-80.244385,105.7
453,26546,43.434521,-80.244041,109.4
454,26547,43.434628,-80.24369,110.7
455,26548,43.434734,-80.243347,108.4
456,26549,43.434849,-80.242989,113.8
457,26550,43.434959,-80.242638,111.1
458,26551,43.435074,-80.242287,111.9
459,26552,43.435184,-80.241928,113.3
460,26553,43.435291,-80.24157,112.5
461,26554,43.435398,-80.241211,112.8
462,26555,43.435505,-80.240845,114.7
463,26556,43.435604,-80.240486,111.6
464,26557,43.435696,-80.24012,112.6
465,26558,43.435787,-80.239754,112.5
466,26559,43.435875,-80.239365,118.4
467,26560,43.435959,-80.238991,113.8
468,26561,43.436031,-80.238609,114.7
469,26562,43.436104,-80.23822,116.8
470,26563,43.43618,-80.237839,114.9
471,26564,43.436253,-80.237457,114.8
472,26565,43.436329,-80.237083,112.9
473,26566,43.436405,-80.236687,119.1
474,26567,43.436481,-80.236305,115.1
475,26568,43.436558,-80.235909,119.2
476,26569,43.436626,-80.235519,116.6
477,26570,43.436703,-80.23513,117.2
478,26571,43.436775,-80.234734,118.7
479,26572,43.436848,-80.234352,114.8
480,26573,43.436924,-80.233963,117.1
481,26574,43.436993,-80.233582,114.1
482,26575,43.437065,-80.2332,114.7
483,26576,43.437134,-80.232834,109.9
484,26577,43.437199,-80.232475,107.5
485,26578,43.437271,-80.232109,110.2
486,26579,43.437336,-80.231758,105.3
487,26580,43.437408,-80.2314,108.0
488,26581,43.437481,-80.231049,106.1
489,26582,43.43755,-80.23069,107.9
490,26583,43.437614,-80.230324,109.4
491,26584,43.437687,-80.229965,108.4
492,26585,43.437759,-80.229599,110.2
493,26586,43.437832,-80.229233,110.3
494,26587,43.437904,-80.228867,110.2
495,26588,43.437969,-80.228485,114.0
496,26589,43.438042,-80.228111,112.6
497,26590,43.438122,-80.227745,111.1
498,26591,43.43819,-80.227371,112.1
499,26592,43.438263,-80.226997,112.6
500,26593,43.438332,-80.226631,109.9
501,26594,43.438408,-80.226265,110.6
502,26595,43.43848,-80.225891,112.5
503,26596,43.438557,-80.22551,115.0
504,26597,43.438633,-80.225136,112.9
505,26598,43.438713,-80.22477,111.1
506,26599,43.438786,-80.224396,112.6
507,26600,43.438866,-80.224014,115.6
508,26601,43.438931,-80.223648,109.5
509,26602,43.438999,-80.223274,112.1
510,26603,43.439072,-80.222893,114.5
511,26604,43.439144,-80.222527,110.2
512,26605,43.439213,-80.22216,110.2
513,26606,43.439278,-80.221786,111.8
514,26607,43.439342,-80.22142,109.4
515,26608,43.439407,-80.221054,109.5
516,26609,43.439476,-80.220703,105.7
517,26610,43.439545,-80.220345,107.7
518,26611,43.439613,-80.219994,105.6
519,26612,43.439686,-80.219635,108.4
520,26613,43.439758,-80.219276,108.3
521,26614,43.439827,-80.21891,109.9
522,26615,43.439896,-80.218544,109.9
523,26616,43.439968,-80.21817,112.5
524,26617,43.440044,-80.217796,112.9
525,26618,43.440125,-80.217422,113.4
526,26619,43.440201,-80.217041,114.8
527,26620,43.440277,-80.21666,114.8
528,26621,43.440346,-80.216263,118.6
529,26622,43.44043,-80.215897,111.6
530,26623,43.440495,-80.215523,111.8
531,26624,43.440567,-80.215141,114.7
532,26625,43.440639,-80.214767,112.5
533,26626,43.440712,-80.214401,110.3
534,26627,43.440781,-80.214027,112.2
535,26628,43.440849,-80.213654,111.8
536,26629,43.440922,-80.213287,110.6
537,26630,43.440987,-80.212921,109.5
538,26631,43.441051,-80.212563,107.2
539,26632,43.441128,-80.212196,111.0
540,26633,43.4412,-80.21183,110.2
541,26634,43.441277,-80.211472,108.5
542,26635,43.441345,-80.211113,107.8
543,26636,43.441414,-80.210762,105.7
544,26637,43.441479,-80.210396,109.5
545,26638,43.44154,-80.210014,113.7
546,26639,43.441601,-80.209656,106.9
547,26640,43.441669,-80.209297,107.8
548,26641,43.44173,-80.208946,104.9
549,26642,43.441799,-80.208572,112.2
550,26643,43.441868,-80.208214,107.7
551,26644,43.441933,-80.207848,109.5
552,26645,43.442005,-80.207489,108.2
553,26646,43.442074,-80.207123,109.9
554,26647,43.442139,-80.206741,114.0
555,26648,43.442207,-80.206367,112.1
556,26649,43.44228,-80.206001,110.3
557,26650,43.442348,-80.205635,109.8
558,26651,43.442413,-80.205254,113.8
559,26652,43.442486,-80.204887,110.6
560,26653,43.442558,-80.204521,110.2
561,26654,43.442627,-80.204155,109.9
562,26655,43.442696,-80.203773,114.4
563,26656,43.442764,-80.2034,111.8
564,26657,43.442829,-80.203033,109.8
565,26658,43.44289,-80.202667,109.1
566,26659,43.442966,-80.202301,110.6
567,26660,43.443039,-80.201942,108.4
568,26661,43.443111,-80.201584,108.0
569,26662,43.443184,-80.201218,110.3
570,26663,43.443249,-80.200851,109.8
571,26664,43.443317,-80.200478,111.8
572,26665,43.443371,-80.200104,110.8
573,26666,43.443436,-80.199745,107.5
574,26667,43.443493,-80.199379,108.8
575,26668,43.443562,-80.199005,112.2
576,26669,43.443619,-80.198639,108.8
577,26670,43.443687,-80.19828,107.8
578,26671,43.443756,-80.197914,109.9
579,26672,43.443821,-80.197533,113.7
580,26673,43.44389,-80.197159,112.2
581,26674,43.443954,-80.196793,109.4
582,26675,43.444016,-80.196411,113.8
583,26676,43.444088,-80.19603,114.4
584,26677,43.444153,-80.195656,111.8
585,26678,43.444218,-80.195282,111.8
586,26679,43.444283,-80.194893,116.0
587,26680,43.444355,-80.194519,112.5
588,26681,43.444424,-80.194153,109.9
589,26682,43.444496,-80.193771,114.7
