sample_order,timestamp,latitude,longitude,speed_kmh
1,136678,43.411667,-80.395058,0.0
2,136679,43.41153,-80.394707,115.9
3,136680,43.411385,-80.394333,123.3
4,136681,43.411243,-80.393982,116.8
5,136682,43.411102,-80.393623,118.7
6,136683,43.410965,-80.393272,115.9
7,136684,43.410824,-80.392914,118.4
8,136685,43.410686,-80.392563,116.1
9,136686,43.410553,-80.392197,119.0
10,136687,43.410408,-80.391846,117.4
11,136688,43.410275,-80.391487,117.2
12,136689,43.410137,-80.391136,116.1
13,136690,43.410004,-80.390793,113.1
14,136691,43.409863,-80.390434,118.7
15,136692,43.409725,-80.390083,116.1
16,136693,43.409584,-80.389725,118.4
17,136694,43.409447,-80.389374,115.9
18,136695,43.409309,-80.38903,114.3
19,136696,43.409168,-80.388672,118.4
20,136697,43.409027,-80.388321,116.6
21,136698,43.40889,-80.387962,117.9
22,136699,43.408745,-80.387611,117.4
23,136700,43.408596,-80.387245,122.0
24,136701,43.40844,-80.386894,119.7
25,136702,43.408279,-80.386543,120.7
26,136703,43.408104,-80.386192,123.8
27,136704,43.407921,-80.385849,123.8
28,136705,43.407726,-80.385513,125.1
29,136706,43.407528,-80.38517,127.4
30,136707,43.40733,-80.384834,125.8
31,136708,43.407124,-80.384499,127.6
32,136709,43.406921,-80.384178,123.8
33,136710,43.406712,-80.383858,125.1
34,136711,43.406509,-80.383537,123.8
35,136712,43.406303,-80.383217,124.3
36,136713,43.406105,-80.382896,122.5
37,136714,43.405903,-80.382591,120.0
38,136715,43.405708,-80.382278,119.9
39,136716,43.405521,-80.381973,116.1
40,136717,43.405331,-80.381683,113.6
41,136718,43.405155,-80.381378,113.3
42,136719,43.404968,-80.381081,114.3
43,136720,43.404793,-80.380783,111.4
44,136721,43.40461,-80.380486,113.3
45,136722,43.404434,-80.380203,108.3
46,136723,43.404251,-80.379921,110.0
47,136724,43.404079,-80.379639,107.1
48,136725,43.403915,-80.379356,105.3
49,136726,43.403767,-80.379066,103.1
50,136727,43.403629,-80.378769,102.5
51,136728,43.403507,-80.378471,99.5
52,136729,43.403404,-80.378159,99.7
53,136730,43.40332,-80.377831,101.1
54,136731,43.403252,-80.377502,99.5
55,136732,43.403206,-80.377159,101.4
56,136733,43.403168,-80.376831,96.6
57,136734,43.403156,-80.376495,97.8
58,136735,43.403156,-80.376167,95.4
59,136736,43.403168,-80.375839,95.5
60,136737,43.403198,-80.375526,91.8
61,136738,43.403248,-80.375214,92.9
62,136739,43.403313,-80.374893,96.9
63,136740,43.403385,-80.374596,91.1
64,136741,43.403477,-80.37429,96.3
65,136742,43.403584,-80.373993,96.4
66,136743,43.403713,-80.373695,100.9
67,136744,43.403847,-80.373413,98.0
68,136745,43.403992,-80.373146,96.9
69,136746,43.404144,-80.372879,98.7
70,136747,43.404293,-80.372604,99.8
71,136748,43.404449,-80.372337,99.6
72,136749,43.404606,-80.372063,101.5
73,136750,43.404755,-80.371765,105.2
74,136751,43.404892,-80.371483,98.7
75,136752,43.405025,-80.371185,101.7
76,136753,43.405136,-80.37088,99.2
77,136754,43.405251,-80.370567,102.0
78,136755,43.405369,-80.370262,100.5
79,136756,43.405479,-80.369965,97.0
80,136757,43.405602,-80.369682,95.9
81,136758,43.405716,-80.369385,97.7
82,136759,43.405834,-80.36911,92.9
83,136760,43.405956,-80.368835,93.7
84,136761,43.406078,-80.368561,93.5
85,136762,43.406204,-80.368294,92.6
86,136763,43.406326,-80.368034,90.0
87,136764,43.406467,-80.367767,96.0
88,136765,43.406605,-80.367516,91.5
89,136766,43.40675,-80.367264,93.5
90,136767,43.406895,-80.36702,91.7
91,136768,43.407047,-80.366776,93.5
92,136769,43.407204,-80.366539,93.3
93,136770,43.40736,-80.366295,94.5
94,136771,43.407513,-80.366058,92.2
