sample_order,timestamp,latitude,longitude,speed_kmh
1,13055,43.411736,-80.395294,0.0
2,13056,43.41161,-80.394958,110.0
3,13057,43.41148,-80.39463,108.7
4,13058,43.41135,-80.394295,110.4
5,13059,43.411224,-80.393959,110.0
6,13060,43.411091,-80.393623,111.3
7,13061,43.410969,-80.393295,107.2
8,13062,43.410835,-80.392967,109.4
9,13063,43.410706,-80.392632,110.3
10,13064,43.410572,-80.392296,111.5
11,13065,43.410439,-80.39196,111.3
12,13066,43.410309,-80.391617,112.5
13,13067,43.410175,-80.391289,109.4
14,13068,43.410049,-80.390961,107.9
15,13069,43.40992,-80.390633,108.5
16,13070,43.409786,-80.390297,111.5
17,13071,43.409664,-80.389969,107.2
18,13072,43.409534,-80.389648,106.9
19,13073,43.409412,-80.389336,103.0
20,13074,43.409286,-80.389023,104.1
21,13075,43.409168,-80.38871,102.5
22,13076,43.409046,-80.388397,103.3
23,13077,43.408928,-80.388084,102.5
24,13078,43.40881,-80.387779,100.5
25,13079,43.408688,-80.387482,99.2
26,13080,43.408569,-80.387192,96.9
27,13081,43.408451,-80.386902,96.7
28,13082,43.408329,-80.38665,88.1
29,13083,43.408211,-80.386398,87.2
30,13084,43.4081,-80.386185,76.2
31,13085,43.408005,-80.386002,65.4
32,13086,43.407917,-80.385841,58.6
33,13087,43.407845,-80.385704,49.2
34,13088,43.407784,-80.385597,39.6
35,13089,43.40773,-80.385521,30.9
36,13090,43.407696,-80.385445,26.0
37,13091,43.407677,-80.385406,13.7
38,13092,43.407658,-80.385376,11.6
39,13093,43.407646,-80.385353,8.2
40,13094,43.407631,-80.385323,10.6
41,13095,43.407616,-80.385284,12.8
42,13096,43.4076,-80.385269,7.7
43,13097,43.407585,-80.385239,10.6
44,13098,43.407562,-80.385201,14.4
45,13099,43.407543,-80.385162,13.7
46,13100,43.40752,-80.385117,16.0
47,13101,43.407497,-80.385078,14.6
48,13102,43.407475,-80.385048,12.4
49,13103,43.407452,-80.38501,14.4
50,13104,43.40744,-80.384979,10.2
51,13105,43.407429,-80.384956,8.0
52,13106,43.407413,-80.384941,7.7
53,13107,43.407406,-80.384918,7.3
54,13108,43.407394,-80.384903,6.5
55,13109,43.407383,-80.384888,6.2
56,13110,43.407368,-80.384872,7.6
57,13111,43.407356,-80.38485,8.0
58,13112,43.407345,-80.384827,8.0
59,13113,43.407337,-80.384819,4.0
60,13114,43.40733,-80.384811,3.6
61,13115,43.407326,-80.384804,2.6
62,13116,43.407318,-80.384804,3.2
63,13117,43.407318,-80.384789,4.4
64,13118,43.407318,-80.384789,0.0
65,13119,43.40731,-80.384773,5.6
66,13120,43.407303,-80.384766,3.5
67,13121,43.407288,-80.384743,9.0
68,13122,43.40728,-80.384727,5.6
69,13123,43.407265,-80.384712,7.4
70,13124,43.407249,-80.384689,9.3
71,13125,43.407242,-80.384682,3.5
72,13126,43.40723,-80.384659,8.2
73,13127,43.407215,-80.384644,7.4
74,13128,43.407204,-80.384621,8.0
75,13129,43.407188,-80.384598,9.3
76,13130,43.407169,-80.384567,11.8
77,13131,43.407143,-80.384529,15.2
78,13132,43.40712,-80.384491,14.4
79,13133,43.407089,-80.384445,18.2
80,13134,43.407063,-80.384407,15.2
81,13135,43.407036,-80.384369,15.5
82,13136,43.407009,-80.384331,15.5
83,13137,43.406982,-80.384285,17.2
84,13138,43.406956,-80.384247,15.2
85,13139,43.406929,-80.384209,15.5
86,13140,43.406902,-80.384163,17.2
87,13141,43.406876,-80.384117,16.9
88,13142,43.406849,-80.384079,15.5
89,13143,43.406818,-80.384041,16.6
90,13144,43.406796,-80.384003,14.1
91,13145,43.406769,-80.383957,17.2
92,13146,43.40675,-80.383926,11.8
93,13147,43.406727,-80.383896,12.7
94,13148,43.406708,-80.383858,13.4
95,13149,43.406685,-80.383835,11.4
96,13150,43.40667,-80.383797,12.6
97,13151,43.406647,-80.383766,12.9
98,13152,43.406624,-80.383743,11.4
99,13153,43.406605,-80.383713,11.6
100,13154,43.406586,-80.383682,11.8
101,13155,43.406559,-80.383636,17.2
102,13156,43.406528,-80.383598,16.6
103,13157,43.406506,-80.383553,15.8
104,13158,43.406475,-80.383514,16.8
105,13159,43.406448,-80.383461,18.8
106,13160,43.406425,-80.38343,12.9
107,13161,43.406395,-80.383385,17.8
108,13162,43.406368,-80.383354,14.1
109,13163,43.406345,-80.383308,16.2
110,13164,43.406319,-80.38327,15.2
111,13165,43.406288,-80.383224,18.2
112,13166,43.406265,-80.383194,12.7
113,13167,43.406239,-80.383141,18.6
114,13168,43.406212,-80.383102,15.7
115,13169,43.406185,-80.383057,17.0
116,13170,43.406155,-80.383011,18.0
117,13171,43.406124,-80.382965,18.2
118,13172,43.406094,-80.382919,18.0
119,13173,43.406063,-80.382874,18.0
120,13174,43.40604,-80.382828,16.2
121,13175,43.40601,-80.382782,18.0
122,13176,43.405979,-80.382736,18.2
123,13177,43.405949,-80.38269,18.0
124,13178,43.405914,-80.382637,20.8
125,13179,43.405884,-80.382599,16.3
126,13180,43.405849,-80.382553,19.4
127,13181,43.405815,-80.382484,24.2
128,13182,43.405781,-80.382439,18.9
129,13183,43.405743,-80.382378,23.4
130,13184,43.405704,-80.382317,23.6
131,13185,43.405666,-80.382256,23.4
132,13186,43.405632,-80.382202,20.8
133,13187,43.405602,-80.382149,19.5
134,13188,43.405567,-80.382095,21.0
135,13189,43.405533,-80.382042,20.6
136,13190,43.405491,-80.381973,26.2
137,13191,43.405449,-80.381912,24.4
138,13192,43.405407,-80.381844,26.0
139,13193,43.405361,-80.381767,29.0
140,13194,43.405315,-80.381706,25.6
141,13195,43.405273,-80.381638,26.0
142,13196,43.405228,-80.381569,27.0
143,13197,43.405186,-80.3815,26.2
144,13198,43.405136,-80.381439,26.7
145,13199,43.405087,-80.381363,29.6
146,13200,43.405041,-80.381287,28.8
147,13201,43.404995,-80.38121,29.0
148,13202,43.404949,-80.381126,30.6
149,13203,43.4049,-80.381058,27.9
150,13204,43.404854,-80.380989,27.2
151,13205,43.404808,-80.38092,27.2
152,13206,43.40477,-80.380859,23.4
153,13207,43.404732,-80.380798,23.4
154,13208,43.40469,-80.38073,26.0
155,13209,43.404648,-80.380669,24.4
156,13210,43.40461,-80.380608,23.4
157,13211,43.404568,-80.380554,23.0
158,13212,43.40453,-80.380486,24.9
159,13213,43.404488,-80.380424,24.7
160,13214,43.404453,-80.380371,20.8
161,13215,43.404415,-80.38031,23.4
162,13216,43.404381,-80.380257,20.6
163,13217,43.404343,-80.380211,20.3
164,13218,43.404316,-80.380157,19.1
165,13219,43.404285,-80.380104,19.8
166,13220,43.404247,-80.380051,21.7
167,13221,43.404209,-80.379997,21.9
168,13222,43.404175,-80.379951,19.1
169,13223,43.404144,-80.379898,19.8
170,13224,43.404118,-80.379837,20.6
171,13225,43.404083,-80.379784,20.8
172,13226,43.404053,-80.379738,18.0
173,13227,43.404022,-80.379684,20.0
174,13228,43.403996,-80.379639,16.7
175,13229,43.403965,-80.379593,18.2
176,13230,43.403934,-80.379539,20.0
177,13231,43.403912,-80.379486,17.8
