timestamp,latitude,longitude
13055,43.411736,-80.395294
13056,43.41161,-80.394958
13057,43.41148,-80.39463
13058,43.41135,-80.394295
13059,43.411224,-80.393959
13060,43.411091,-80.393623
13061,43.410969,-80.393295
13062,43.410835,-80.392967
13063,43.410706,-80.392632
13064,43.410572,-80.392296
13065,43.410439,-80.39196
13066,43.410309,-80.391617
13067,43.410175,-80.391289
13068,43.410049,-80.390961
13069,43.40992,-80.390633
13070,43.409786,-80.390297
13071,43.409664,-80.389969
13072,43.409534,-80.389648
13073,43.409412,-80.389336
13074,43.409286,-80.389023
13075,43.409168,-80.38871
13076,43.409046,-80.388397
13077,43.408928,-80.388084
13078,43.40881,-80.387779
13079,43.408688,-80.387482
13080,43.408569,-80.387192
13081,43.408451,-80.386902
13082,43.408329,-80.38665
13083,43.408211,-80.386398
13084,43.4081,-80.386185
13085,43.408005,-80.386002
13086,43.407917,-80.385841
13087,43.407845,-80.385704
13088,43.407784,-80.385597
13089,43.40773,-80.385521
13090,43.407696,-80.385445
13091,43.407677,-80.385406
13092,43.407658,-80.385376
13093,43.407646,-80.385353
13094,43.407631,-80.385323
13095,43.407616,-80.385284
13096,43.4076,-80.385269
13097,43.407585,-80.385239
13098,43.407562,-80.385201
13099,43.407543,-80.385162
13100,43.40752,-80.385117
13101,43.407497,-80.385078
13102,43.407475,-80.385048
13103,43.407452,-80.38501
13104,43.40744,-80.384979
13105,43.407429,-80.384956
13106,43.407413,-80.384941
13107,43.407406,-80.384918
13108,43.407394,-80.384903
13109,43.407383,-80.384888
13110,43.407368,-80.384872
13111,43.407356,-80.38485
13112,43.407345,-80.384827
13113,43.407337,-80.384819
13114,43.40733,-80.384811
13115,43.407326,-80.384804
13116,43.407318,-80.384804
13117,43.407318,-80.384789
13118,43.407318,-80.384789
13119,43.40731,-80.384773
13120,43.407303,-80.384766
13121,43.407288,-80.384743
13122,43.40728,-80.384727
13123,43.407265,-80.384712
13124,43.407249,-80.384689
13125,43.407242,-80.384682
13126,43.40723,-80.384659
13127,43.407215,-80.384644
13128,43.407204,-80.384621
13129,43.407188,-80.384598
13130,43.407169,-80.384567
13131,43.407143,-80.384529
13132,43.40712,-80.384491
13133,43.407089,-80.384445
13134,43.407063,-80.384407
13135,43.407036,-80.384369
13136,43.407009,-80.384331
13137,43.406982,-80.384285
13138,43.406956,-80.384247
13139,43.406929,-80.384209
13140,43.406902,-80.384163
13141,43.406876,-80.384117
13142,43.406849,-80.384079
13143,43.406818,-80.384041
13144,43.406796,-80.384003
13145,43.406769,-80.383957
13146,43.40675,-80.383926
13147,43.406727,-80.383896
13148,43.406708,-80.383858
13149,43.406685,-80.383835
13150,43.40667,-80.383797
13151,43.406647,-80.383766
13152,43.406624,-80.383743
